data,disciplina,jogo.nome,jogo.url,jogo.img-url,md_descricao
20/04/2017,proj4-2017-1s,Flinthook,http://store.steampowered.com/app/401710/?l=portuguese,imgs/flinthook.jpg,"Viva a vida de um pirata espacial, num roguelike de arena e sidescrolling. É interessante acompanhar como a equipe montou esse projeto, com várias estratégias e materiais disponíveis."
20/04/2017,balanceamento-2017-1s,Expand,https://hypernexus.itch.io/expand,imgs/expand.png,"Jogo com uma organização espacial interessante e diferente, executada com qualidade. No entanto a estética minimalista é necessária?"
31/03/2017,mitologia-2017-1s,Huni Kuin: Yube Baitana,http://www.gamehunikuin.com.br/,imgs/hunikuin.jpg,"Jogo criado em parceira com o povo kaxinawá, fruto de um trabalho de resgate de histórias e conhecimentos tradicionais. Exemplo interessante das possibilidades de criação de games sobre e para culturas indígenas."
31/03/2017,proj2-2017-1s,Giraffes Volleyball Championship 2016,https://sandwichpuissant.itch.io/giraffes-volleyball-championship-2016,imgs/giraffes.gif,"Esporte inventado simples e fantástico. A premissa é fácild e entender e os controles são simples, appesar de incomuns. Vale a pena uma análise mais detalhada."
30/03/2017,proj4-2017-1s,Hyper Light Drifter,http://www.heart-machine.com/,imgs/hyperlight.png,"Um jogo de exploração com uma arte forte, com cores marcantes e som de alta qualidade. Tem um equilíbrio difícil entre exploração e combate que está a serviço da narrativa."
30/03/2017,balanceamento-2017-1s,Sky Rogue,https://nihilocrat.itch.io/sky-rogue,imgs/skyrogue.gif,"A sensação de movimento, tanto estética quanto de aprendizado, é muito bem feita. Jogo aberto a modding e com escolhas de game design macro que apóiam essa sensação de aprendizado em médio prazo."
24/03/2017,proj2-2017-1s,Towerfall,http://www.towerfall-game.com/,imgs/towerfall.png,"Jogo arena de disputa de arqueiros, com ótimo equilíbrio, variedade e variantes interessantes."
24/03/2017,mitologia-2017-1s,Age of Mythology,https://www.ageofempires.com/games/aom/,imgs/aom.jpg,"É um clássico do gênero RTS, com uma ênfase interessante em criar variedade de gameplay usando heróis e figuras mitológicas. No entanto, mitologia aqui é uma temática superficial, um *pot-pourri* de cullturas e colagem. Abordagens semelhantes, mas envolvendo culturas atuais seria bastante problemática."
23/03/2017,balanceamento-2017-1s,Samurai Lantern,https://adventurebit.itch.io/samurailantern,imgs/samurai02.gif,"Jogo com ótimo game feel para o personagem. Poucos movimentos, clareza de intenções, mas de difícil execução."
23/03/2017,proj4-2017-1s,Cosmic Express,https://draknek.itch.io/cosmic-express,imgs/cosmic.png,Puzzles desafiantes em estações espaciais fofas. Gameplay fácil de aprender e difícil de dominar.
17/03/2017,proj2-2017-1s,EGGNOGG+,https://madgarden.itch.io/eggnogg,imgs/eggnogg.png,"Jogo multiplayer local de duelo de espadas. É um jogo de fãs de [NIDHOGG](http://nidhogggame.com/), extremamente bem feito e bem-humorado."
17/03/2017,mitologia-2017-1s,Let's Play Ancient Greek Punishment,http://www.pippinbarr.com/games/letsplayancientgreekpunishment/LetsPlayAncientGreekPunishment.html,imgs/ancientgreek.jpg,"Jogue cada uma das punições gregas. Ótimo jogo para discutir representação e significado em jogos, explorando temas da mitologia grega e sua relação com como jogamos videogames."
16/03/2017,balanceamento-2017-1s,Three Body Problem,http://roburky.co.uk/play/threebodyproblem/,imgs/three-body-problem.png,"Jogo simples e bastante difícil, totalmente voltado para o game feel do movimento do personagem. Ao mesmo tempo, suas regras básicas são claras e criam decisões interessantes. Tem um equilíbrio sutil e mecânica repetitiva, no estilo *Super Hexagon*."
